Account Name,Campaign ID,Campaign Name,Campaign Status,Ad Set Name,Ad Set ID,Ad Set Status,Website URL(s)
SM Hair,120236765326400540,Selenite Broad Other Camp – Copy 2,PAUSED,New Sales ad set,120236765326430540,ACTIVE,https://studdmuffyn.com/collections/selenite-recharging-plate
SM Hair,120236765326400540,Selenite Broad Other Camp – Copy 2,PAUSED,New Sales ad set,120236765326430540,ACTIVE,https://studdmuffyn.com/collections/selenite-recharging-plate
SM Hair,120236765326400540,Selenite Broad Other Camp – Copy 2,PAUSED,New Sales ad set,120236765326430540,ACTIVE,https://studdmuffyn.com/collections/selenite-recharging-plate
SM Hair,120237619783560540,ntn_web_conv_hair_24_7_phusphus_combo_reel_ugc_partnership_20022026_loc_ex– Copy 2,PAUSED,open_india_bracelet_mix_creative_240226,120237619783670540,ACTIVE,https://studdmuffyn.com/collections/real-power-of-redensyl
SM Hair,120237619783560540,ntn_web_conv_hair_24_7_phusphus_combo_reel_ugc_partnership_20022026_loc_ex– Copy 2,PAUSED,open_india_bracelet_mix_creative_240226,120237619783550540,ACTIVE,https://studdmuffyn.com/collections/real-power-of-redensyl
SM Hair,120237619819620540,retarget_ntn_adv_web_conv_offer_static_20022026,PAUSED,open_india_skincare_mix_creative_270226,120237619819720540,ACTIVE,https://studdmuffyn.com/collections/buy-1-get-1-sale
SM Hair,120237619819620540,retarget_ntn_adv_web_conv_offer_static_20022026,PAUSED,open_india_skincare_mix_creative_270226,120237619819700540,ACTIVE,https://studdmuffyn.com/collections/buy-1-get-1-sale
SM Hair,120237619819620540,retarget_ntn_adv_web_conv_offer_static_20022026,PAUSED,open_india_skincare_mix_creative_270226,120237619819720540,ACTIVE,https://studdmuffyn.com/collections/buy-1-get-1-sale
SM Hair,120237619819620540,retarget_ntn_adv_web_conv_offer_static_20022026,PAUSED,open_india_skincare_mix_creative_270226,120237619819700540,ACTIVE,https://studdmuffyn.com/collections/buy-1-get-1-sale
SM Hair,120237621359720540,ntn_adv_web_hair_xtreme_hair_reel_20022026,PAUSED,open_india_xtreme_hair_combo_mix_creative_240226,120237621359780540,ACTIVE,https://studdmuffyn.com/collections/all-hair-solution-products
